Team,Goals,Assists,PK converted,PK attempted,Shots,Shots on Target,YCrds,Rcards,Touches,Tackles,Interceptions,BlockedShots,XG,npXG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,AttTakes,ScsflTakes,Results
Ajax,1,1,0,0,10,2,2,0,648,31,19,17,1.3,1.3,1.2,15,2,363,495,73.3,35,390,9,18,7,W
,2,2,0,0,16,4,3,0,573,35,21,15,1.6,1.6,1.5,30,4,300,414,72.5,30,305,20,12,8,L
Tottenham Hotspur,0,0,0,0,12,1,0,0,650,20,13,14,0.6,0.6,0.5,24,0,375,524,71.6,47,321,26,27,13,L
,3,2,0,0,24,7,2,0,743,10,9,15,4.5,4.5,3.3,42,5,483,610,79.2,46,356,30,44,23,W
Liverpool,0,0,0,0,15,3,1,0,690,17,11,12,1.8,1.8,1.1,26,0,483,592,81.6,52,375,27,14,9,L
,4,2,0,0,13,7,2,0,571,16,11,10,2.5,2.5,1.8,21,6,352,463,76.0,44,280,21,13,10,W
Barcelona,3,2,0,0,12,5,3,0,676,16,14,14,2.7,2.7,1.5,23,5,450,538,83.6,36,366,22,26,16,W
,0,0,0,0,8,5,3,0,728,17,15,14,1.4,1.4,1.3,16,0,513,628,81.7,41,447,19,12,7,L
